node_id	feature(feature_amount:931)	label
74	92,918,409,334,690,244	3
75	10,92,138,521,624,843	3
76	369,385,387,381,834,658,811,814,586,873,37,36	4
77	92,111,138,348,521,677,149,873	3
78	334,476,477	4
79	92,138,77	0
80	92,138,521,704,847	2
81	369,385,387,390,521,811	3
82	92,129,138,521,648	2
83	80,92,138,144,521,687,46,285	4
84	361,369,334,672	3
85	334,92,127	1
86	92,847,918,409,331	1
87	92,138,129,928,521	0
88	911,521	1
89	12,76,92,129,96,521	4
90	334,369	2
91	97,74,809,449,27,102,334	4
92	92,138,132,121,328	2
93	77,92,521	1
94	342,92,121,481,901	3
95	521,222,387,369,385	3
96	92,138,344	4
97	92,138,252,521	1
98	60,77,78,92,111,55,147,521,570	4
99	77,92,49,144,252,499,521,740	2
100	132,92	2
101	89,92,155,591,660,791,865,87	4
102	138,728	3
103	342,92,337	1
104	92,101,521,562,593	2
105	521,12,92,55,138,357,369,387,558,708,873,880,359	3
106	369,363,521	2
107	80,521,744	1
108	21,22,24,521,662,473,28	3
109	521,92,138,570,681,754	1
110	77,92,138,252,521,778	2
111	12,92,138,521,210	3
112	847,397,400,402,403,404,407,521,682,784	4
113	80,92,127,132,334,452,830,824,825,827	3
114	369,385	1
115	92,91,60,111,901,131,789,724,830,334	4
116	92,357,481,491,570,704,908	1
117	92,132,111,193,331,817,844,873	4
118	92,521,570	0
119	18,350,127,918,138,290,854,92	3
120	369,383,672	3
121	31,369,385,387,811	2
122	263,268,434,521	2
123	77,92,49,138,144,252,499,521,558,677	4
124	92,144,521	2
125	931	0
126	32,369,387,385,521,834,811	3
127	92,138,18	0
128	369,385,387,521	2
129	235,229	1
130	521,483	2
131	12,77,469	1
132	92,144,290,521,635	4
133	80,133,140,144,54,355,356,491,830,521,684,701	4
134	92,104,357,420,908,132,138,194,241,319,356,505,677,915	4
135	361,369,385,387,381,320	3
136	92,127,593	0
137	364,361	1
138	92,138	3
139	61	2
140	521,138,92,111,892	2
141	494,61,90	1
142	121,144,138,334,539	2
143	92,138,142,521,570,800,798,615	3
144	92,138,311,521,745,765	1
145	521,129,850	2
146	92,138,521,630,787	3
147	15,839	4
148	521,361,369,387	2
149	441,521	0
150	61,521	1
151	369,385,387	1
152	127,865,339,92	1
153	521,710,583,92,138	1
154	50,138	2
155	481,80,922,91,132,139,240,334,738,901,55	4
156	92,138,684	1
157	92,138,521,530	2
158	521,845	1
159	92,138,499,521,570,728	3
160	521	1
161	91,92,111,311,649,865,873	4
162	92,129,138,356,773,921	3
163	77,92,499,521,570	0
164	841	0
165	92,138,562,344,343,677	2
166	173,176,177,753	4
167	61	0
168	874,443,441,521	2
169	92,138,100,66,469	2
170	21,22,80,133,92,138,521,928,625	1
171	92	1
172	15,92,138,289,481,521,881	4
173	92,138	2
174	138,361,92,18,357,915,776	3
175	46,21,27,60,80,22,92,95,133,138,144,206,448,521,570,615,675,696,821,923,925	4
176	92,138,290,867,521,612	2
177	156	0
178	521,92	0
179	369,384,387,521	1
180	334,92,159,918,844,621	4
181	169,173,167,177,179,685	4
182	92,138,144,481,521,531,611,863	2
183	31,369,387,376,672,214,213	3
184	92,138,252	2
185	92,138,329,704	3
186	92,138,144,521,690,921	2
187	399,400,402,403,849	3
188	361	0
189	138,132,92,704,491	1
190	271,258,263,268,521,765	2
191	521,92,91,138,77,145,778	3
192	72,92,132,138,521,675,704,728,850	3
193	521,92,133,138,144,539,491,637	4
194	15,21,92,138,521	1
195	92,111,132,138,728	1
196	229,235,236,834,873,356	3
197	138	3
198	58,92,188,193,195,246,334,357,481,822,704,901,918	4
199	521,572,573	3
200	92,129,252	3
201	92,138,521,547	3
202	92,138,90,728	2
203	61,90,85,92,138,121,331	2
204	521,92,138,309,356,505,558,817,882	4
205	369,385,387,521	4
206	92,138,521,583	1
207	92,138,474,712	2
208	92,132,356,873,420,307,357,369,370,385,518,512,558,882	4
209	92,101,138,142,206,546,583,894	4
210	21,111,129,138,285,356,521	4
211	92,138,250,521,677,886,924	4
212	92,56,138,144,252,521,713	4
213	92,108,133,138,521,650	0
214	92,132,121,138,252,733,326	3
215	92,111,55,132,138,144,80,311,348,433,481,513,514,834,873	4
216	21,22,92,133,138,521	3
217	188,521,361	3
218	92,138,521,675,696	2
219	61,521	0
220	521,911,415,913	4
221	92,49,138,252,481,499,521	4
222	80,81,92,95,521,570,615,481	4
223	21,92,138,503,521,569	1
224	337,369,387,282	3
225	80,92,138,144,207,12,499,49,884,106	3
226	92,127,898,50,241,334	4
227	521	3
228	369,387,385,834,522	4
229	61,521	4
230	361	3
231	80,92,49,133,138,499,500,521,615,642	3
232	521,268,263,640	2
233	92,132,138,144,263,267,268,270,769	3
234	31,225,521	3
235	92,138,521,831	2
236	92,334,469	0
237	92,127,132,206,242,334,433,473,662,901,513	4
238	92,129,138,481,521	2
239	521,29,77,92,101,138	3
240	369,387,385	2
241	71,77,92,100,104,138,144,521,780,619	4
242	931	3
243	369,385,387,521,672	2
244	92,127,721,342	2
245	92,55,132,138,521,615	1
246	188,194,203,303,428,521,718	4
247	92,138,439,618,570	3
248	61	0
249	361,369,11,337	4
250	931	0
251	521,67,92,129,132,138,144,554,743,897	3
252	92,138,144,250,311,540,778,808,898	4
253	80,92,521,668,864,134	3
254	369,521	4
255	92,138	2
256	80,49,500,521,15,880	2
257	49,102,111,128,448,499,497,521,615,875	3
258	92,138,263,268,521,673	3
259	521,428,422,499,532	1
260	173,180,521	2
261	521,92,138,129,728	1
262	521,77,92,138,778	3
263	123,521,351,447,481,687,919	4
264	61,901,41	1
265	92,138,144,142,396,516,521,621,737,252	4
266	92,521	3
267	92,132,334,531	1
268	258,263,270,521,761	2
269	92,252	0
270	483,482,499	0
271	369,387,581	1
272	92,138,677,736,830,865	2
273	369,387,521	1
274	18,92,49,132,138,144,350,499,570,681,854	2
275	369,385,643	3
276	82,91,448,46,62,521,692	4
277	61	0
278	45,92,132,57,193,195,207,246,356,830,435,768,579,881,894,902	4
279	92,127,409,149,334	1
280	92,138,144,448,320	4
281	92,55,138,312,481,521,546,747	2
282	21,111,138,704,873	2
283	132,127,92,608,611	3
284	92,49,794,861,138,252,499,521,781,817,816	4
285	92,132,138,144,295,491,630,811,834	2
286	393,521	3
287	77,92,138	1
288	521,904	4
289	521,92,55,132,138,144,481,210	2
290	521,361,369,387	4
291	92,138,588,727	1
292	77,92,138,582	1
293	263,268,423,435,521	4
294	521,504,92,138	1
295	91,92,111,252,254,357,448,676,873,882	4
296	49,102,116,128,497,793,875	3
297	92,327	2
298	92,54,206,292,348,521,562,605	4
299	26,123,800,419,521,565,683,728	4
300	138,132,92,521	1
301	229,235,236,294,348,743	2
302	102,116,92,138,778,578,521,77,164,56	4
303	92,132,138,521,531,569,688	3
304	92,138,615,570,357,491,675	3
305	90,92,163,784,570,704	3
306	75,807	3
307	18,890,92,349,474,663	4
308	521,80,92,132,138,144,625	0
309	381,369,387,385,390,222,584	4
310	243,271,260,257,263,256,268,269,334,761,831,16	4
311	827,825,828	1
312	138	1
313	161	3
314	127,92	1
315	92,138,521,569,706,574,902	3
316	21,92,138,205,252,521,570,677,776	4
317	92,49,138,295,310,499,521,570,724,876	3
318	409	3
319	387,384	0
320	92,918,138,570,320,241	3
321	80,92,138,252,456,521,535,677	4
322	92,521	1
323	92,138,902	1
324	358,385,499,387	2
325	521,77,78,92,132,138,91,669,560	2
326	92,127,774,334	3
327	77,92,138,521	1
328	80,92,94,55,138,247,323,479,481,330,592,615,873	4
329	441,444,521	2
330	92,55,252,300,301,456,457,521,677,687	4
331	92,138,521,582,679,634	1
332	80,92,107,138,510,906,144	3
333	21,92,138,521,251	2
334	138,92,129,521	2
335	369,381,364,385,387,390,521	3
336	369,387,385,188,672,814,323	2
337	92,129,138,252	0
338	92,138,144,521,570,776	3
339	92,85,216,481,901,240,334	2
340	521,92,132,55,138,142,155,720,149	3
341	60,77,78,91,92,116,138,733	4
342	387,361	0
343	428	0
344	92,138,918,917	2
345	521,841	2
346	49,132,138,144,12,499,873,884	3
347	92,521	0
348	77,92,56,138,252,521,677,836,877	3
349	92,132	0
350	92,138,209,210,307,342,320,356	4
351	92,138,121,12	1
352	92,132,138,648	1
353	425,521	2
354	521	3
355	521,267,268	0
356	21,92,138,144,252,521,677	3
357	92,132,138,521,562,644,878	3
358	521,369,387,522	3
359	931	1
360	92,138,521	2
361	92,111,129,348,740	2
362	77,92,138,144,252,619	4
363	428,424	3
364	474,521	2
365	92,129,138,144,481,836,521,704,570,491,41	4
366	92,127,104,929,504,334,212,513	4
367	92,134,12	3
368	138,92,411,521	1
369	342,92,539	1
370	92,904,699,648	2
371	92,132,521,920	2
372	60,77,78,85,92,138,144,582	4
373	521,799	3
374	92,107,138,529,521,918,759	3
375	21,27,60,91,92,111,138,144,145,157,248,323,554,556,785,843	4
376	263,268,521,694	2
377	92,138,563	3
378	21,90,92,138,521,677,785	2
379	92,127	1
380	891,21,92,132,138,747	2
381	60,85,481,92,138,46,521,660,865	4
382	92,111,138,494,521,163	3
383	92,55,80,188,205,521,562,705,491,490	4
384	245,316,361,369,385,387	3
385	92,138,252,521	4
386	521,482,422,499,428	0
387	92,138,252,521	3
388	40,236,385,521	4
389	92,132,85,79,677	2
390	259,268,521	1
391	342,369,385,387	1
392	234,236,521,814,33	1
393	521,572,573	3
394	229,320	2
395	92,138,521	1
396	92,409,94	2
397	12,92,138,521	3
398	21,22,61,80,521	1
399	371,369,389,521,228	4
400	92,56,138,252,861,307,578,908,481,521,677,743	3
401	521,440	0
402	402,403,400,849,521	2
403	225,229,235	2
404	16,188,201,294,334,227,229,234,236,499,500	4
405	92,122,138,901,724,344	4
406	521,825,827	2
407	364,334	3
408	138,504,92	1
409	92,18,350,854	1
410	521,60,91,92,116,138,77,144,252,420,589,741	3
411	521,80,94,138,144,889	3
412	476,433,478,638	4
413	173,263,521	2
414	92,138,521,690	0
415	476,478,521,631	1
416	521,92,138,481	2
417	92,138,481,660,521,865,888	2
418	92,138	0
419	12,92,138,521	2
420	92,138,928,521	0
421	21,22,61,80,138	1
422	521,92,49,499,531,684	1
423	334	2
424	92,49,138,499,521,539,892,569	3
425	61,80	0
426	33,521,911,913	1
427	92,127,132,901,334,138,756	3
428	369,385,387,750	3
429	92,132,138,499,49,704,570	3
430	173,176,177,416,521	2
431	521,188,369,384,387,390,534	3
432	521,92,138	0
433	10,72,92,55,195,481,517,570,687	4
434	369,383,385,901,334	2
435	80,92,95,138,451,521,570,731	3
436	92,138,677	1
437	92,521	0
438	560,77,91,92,49,125,138,128,395,669,499,521	4
439	80,49,133,499,500,521,776,831	3
440	92,132	2
441	92,138,191,0,251,517,521,582,778,851	4
442	92,138,928	1
443	369,384,387,521	3
444	184,185,334,441,443,444	3
445	327,74,77,92,49,141,314,817,466,499,588	4
446	369,225,337	2
447	15,92,138,521,738	1
448	521,92,138,518	1
449	106,805,61,562,644,338	4
450	261,268,521	2
451	77,92,138,141,252,518,741,927,509,49,499,513	3
452	138,521,562,149	0
453	92,111,132,138,570,683,927,289	1
454	246,369,387,390,342,522,448	2
455	77,92,116,121,138,241,448,552,861	4
456	90,92,138,521,570	1
457	369,384,385,387,730	3
458	385,512	3
459	92,138,521,927,582	3
460	571	0
461	369	0
462	177,521,685	0
463	138,77,591,704,521	4
464	92,132,138,439,521	4
465	402,403,521	2
466	225,369,387,521,214,213	1
467	92,138,469,521,927	3
468	173,177,521,753	2
469	92,132,356	2
470	521,527,117	3
471	92,132,138,458,570,704	1
472	60,102,132,138,252,503,521,781	4
473	92,521,770	2
474	92,132,138,144,311,348,356,521,704,873,481	4
475	92,138,521,530	2
476	521,586,823,827,825,873,486	3
477	138,106,881,413,675	4
478	92,144,901,342	1
479	521,928,138,605,681	1
480	92,138,442,446,491,488,489,252,732,738	4
481	360,363,521	2
482	225	0
483	92,49,111,132,138,499,521,704	2
484	77,92,138,521,736,865	3
485	92,111,138,521,582,626,889	2
486	471,472,455	4
487	361,385,549,18	4
488	92,138,66,100,348,356,579,469,446,447,830	4
489	521,380,371,369,387	2
490	138,521,704,149,901,491	3
491	92,342,625,677,707	2
492	55,92,138,139,521	2
493	369,387	3
494	521,361,369	0
495	8,92,127,121,138,474,636,901	4
496	92,138,521	0
497	573,521	4
498	428,521	1
499	229,235,476,477,638	0
500	369,385,387,294	2
501	209,521,877,487	1
502	931	0
503	92,138,196,311,521,740,895	3
504	92,138,521,545,692,830,250,621	2
505	12,144,315,625,469,92	1
506	69,92,144,60,342	4
507	334,92,921	1
508	92,132,138,503,521,583,660	3
509	80,94,106,140,320,342	4
510	10,92,55,351,481,357,188,193,195,205,448,505,562,570,693,681	4
511	92,55,129,138,356,481,521,724	4
512	369,371,387,521	3
513	85,111,830,491,348,505,798,873	3
514	521,369,387	0
515	41,90,92,49,149,132,209,446,445,505,499,496,704,793,420,873	4
516	19,21,29,92,138,521	2
517	300,320,558,847	3
518	369,387,521	3
519	521,387,369,385	2
520	472,521	4
521	92,132,138,578,738	4
522	92,55,138,300,301,412,521,687,558	4
523	268,521,652	0
524	92,120	3
525	92,697,559	0
526	92,138,144,49,80,500,747,546,872,901,320	4
527	521,672,387,369	2
528	77,92,49,129,138,499,447,446,445,521,570,615,704,817,816	4
529	152,369,384,387,385,814,372,834,521,586,31	2
530	263,267,268,436,521,761	1
531	92,138,521,684	0
532	92,738	1
533	58,71,73,77,85,90,92,49,132,138,141,144,155,499,521,539,591,924	4
534	79,91,92,138,594,789	4
535	92	2
536	263,268,521,761	1
537	92,132,138	1
538	46,138,521	4
539	77,92,290,473,662	1
540	77,92,50,138,521,568,748	3
541	92,111,138,348,490,503,675,836,873,874	4
542	521,814,825,827,828,823	2
543	22,77,80,92,139,521	2
544	521,369,387,385,390,358,499,672	2
545	521,116,61,12	1
546	92,132,138,351,357,521,570	4
547	330,263	1
548	521,476,477,478,575,576	2
549	369,372,381,385,387,390,586	3
550	92,138,724	1
551	138,92,724,800,55,142,703,521,481	3
552	92,55,138,295,521,900	4
553	476,521,478,581,538	4
554	521,21,144,77,138,626,92	3
555	521,625,92,111,138	2
556	837,80,127,611,677	1
557	132,92,138,558	0
558	92,127,918,409,105,884,539	2
559	129,138,144,311,473,521,662	2
560	521,660,865,92,138	2
561	21,22,77,92,439,521,602	2
562	258,263,272,273,268,521,765,784	4
563	250,92,103,55,446,144,147,447,357,800,466,138,521,563,598,798	4
564	21,27,129,92,138,132,111,604,873	2
565	92,127,132,352,240	3
566	112,481,357,280,304,784,494,521,704	4
567	92,138	0
568	144,157,519,1,521,637	4
569	229,235,672	0
570	92,55,491,138,285,521,615	3
571	12,92,138,521,798	3
572	92,49,139,499,521,689	4
573	77,138,159,252,521,491,600,677	2
574	49,92,127,481,334,704	1
575	21,145,148,129,132,138,142,463,521,554,660,873	3
576	92,138,504,521	0
577	92,55,132,194,208,250,320,356,448,481,505,769,795,873,882,901	4
578	77,92,49,138,141,188,208,209,481,578,499,496,521,570,615	4
579	38,369,381,385,387,390,811,814,834	4
580	263,92,254,342,558	3
581	92,127,570	1
582	92,238,615,901,334	4
583	521	4
584	323,912,911	3
585	488,732,521	0
586	476,478,326	3
587	263,673,320	3
588	221,369,385,558,672,873	4
589	92,49,138,144,252,355,499,521,677	4
590	92,138	2
591	12,92,138,469,521,625	3
592	77,92,49,138,252,481,499,521	2
593	11,188,229,235,294,476,477,478,507,586,631,811,814	4
594	268,263,269,275	4
595	387,384,485,534,521	4
596	37,208,209,210,200,294,348,356,522,369,385,521,544,873	4
597	850	1
598	92,138,521,755,905	2
599	521,488,489,525	4
600	92,147,138,141,252,491,521,677	3
601	89,92	1
602	77,92,138,121,132,7,623,481,474,34,327	4
603	92,144,56,521,499,530	3
604	15,61,144,263,267,268,481,521,831	3
605	858,860,521	3
606	334,369	0
607	931	1
608	92,138,320	4
609	77,92,138,521,625	0
610	92,334,717	0
611	92,508,521,650	2
612	92,132,481,704,249,778	3
613	334,92,127,105,106,481,600,879	4
614	138,127,92,901,128,703,754	2
615	92,132,12,521	4
616	39,369,387,385,305,20,329,672,814	4
617	92,127,442,446	2
618	364,369,549,901	4
619	80,92,106,133,138,144,448,521,634,787,881	4
620	21,138,92,210	2
621	92,138	1
622	21,101,129,132,138,570,701,770,92	3
623	92,132,138,77,433,491,877,513	4
624	369,387,521,522	1
625	92,101,138,144,890,474,521,481,591,623,877	4
626	92,111,132,138,144,188,194,197,200,203,208,209,303,481,150,356,562,764,900,927	4
627	369	1
628	521,144,138,132,675,771,503	4
629	132,92,138,583,481,331	4
630	369,385,294	4
631	521,138,92,759	3
632	521,77,92,540	2
633	521,361,369	0
634	92,138,521	2
635	361	1
636	61,312,521	1
637	364,369,387,521	3
638	92,138,144,521,669,560	1
639	61,21,901	2
640	257,263,268,270,521,153,275,640	4
641	521,828	0
642	10,92,52,132,188,194,197,356	4
643	92,127	0
644	369,387,521	3
645	209,92,132,138,481,704,242,335	2
646	92,625,334	2
647	92,138,357,521,677	2
648	138,92	0
649	901,61,92,127,173,837,685	4
650	40,357,369,521,570,704	2
651	92,60,91,21,27,240,626	4
652	268,259	0
653	21,92,132,138,348,843,873	4
654	92,521,562,578,794,633,865	3
655	361,387,521,655	1
656	92,138,521,704	1
657	257,263,521	2
658	92	0
659	92,138,521	1
660	92,252,521,557,738,830	4
661	80,144,94,49,138,311,451,499,500,521,570,677,770	4
662	188,369,385,521,672	4
663	111	1
664	77,92,138,190,212,278,356,521,570,704,873,513	4
665	165,476,477,478,521,631	3
666	92,127,240,582,583,763,918,320	2
667	92,138,49,499,918,778	1
668	77,138,217,446,521,570,704	3
669	92,138,144,252,521,719	3
670	92,138,469,521,625	1
671	521,80,92,133,138,302,481,778,539	3
672	173,167,177,188,200,356,521,416	4
673	521,177,173	2
674	77,92,138,521,774,481,861	1
675	21,92,132,138,768	0
676	92,138,340	2
677	129,521,696	3
678	92,521	0
679	551,637,521,919	4
680	92,138,132,104,71,861	4
681	92,122,132,138,144,57,570,704,873,304	3
682	521,92,138,141,144,474	3
683	92,132,85	2
684	521,715,694,267,263,268,256,275	3
685	521,138,677	2
686	61,80,618,334	3
687	77,90,51,92,144,447,446,521,861,562,821	4
688	92,127,541	2
689	92,104,138,321,208,209,704	4
690	92,102,138,521,789,724,491	3
691	92,132,138,709	2
692	92,134,830,163,494,521	1
693	60,84,92,138,521	2
694	31,165,369,372,387,385,381,586,834,814,811,643	2
695	92,55,481,491,521,531,688	3
696	537,18,853,854,313	4
697	21	0
698	77,92,138,521,677	2
699	488,521,732,821	4
700	92,336	1
701	92,127,77,263,266,761,254,240	4
702	94,139,80,364,361,311,521,558,387	4
703	92,138,160,521	0
704	385,387,558,221,334	2
705	92,127,901	1
706	521,823	0
707	267,263	0
708	447,92,138,144,121,122,704	3
709	92,138,521,680,704,921,927	3
710	61,77,132,138,615,329,704	2
711	138,92,132,677	4
712	521,825,828	2
713	521,845,846,844	0
714	931	0
715	451,139,504,521,85	4
716	92,138,252	4
717	92,138,12,469,564,481	3
718	92,101,138,524,521,55,357,420,481,700	4
719	399,402,400,398,403,405,729,790,849	4
720	92,138,252,521,719	3
721	521,92,132,138,348,570,618	2
722	521,664,828,842,825,827,829	2
723	521,369	1
724	61,312,521	1
725	92,132,138,521,615,590	2
726	342,92,132,12	3
727	77,92,521,561	2
728	521,225	2
729	229,521,672,653	1
730	92,132,138,356,593,724,873,521	4
731	521,387,369,385,381,390	1
732	92,138,42,521	2
733	92,138,521	2
734	369,385,387,834,814,521	3
735	21,77,89,92,138,521,554,605,776	4
736	92,138,106,298,521	4
737	138,92	2
738	521,727,61	0
739	425,521	2
740	521,92,98,481,494,847,163,784	3
741	92,138,278,521,539,633,865	3
742	138,129,521	0
743	429,428,430,129,138,521	2
744	92,132,138,867,521,531,611	2
745	80,92,138,470,521,887,95	3
746	92,138,521,625	1
747	931	1
748	521,21,92,615	2
749	390,521,672,361,357,144,122	4
750	92,49,106,138,499,498,593,724,880	4
751	46,92,111,132,521,541	4
752	92	2
753	92,132,138,351,352,353,521	3
754	334,92,127,409	4
755	236,521	2
756	18,92,138,350,861,854	3
757	521,798,49,499,77,138,704,927	2
758	73,92,138,278,660,521,865	4
759	361,521,581	3
760	92,138,163,252,421,481,494,539,796,915,908	4
761	92,138,499,49,521,886,165	3
762	92,138,504,521	3
763	521,203,278,356,369,370,385,387,558,581,522,632,741	4
764	92,138,521,559,712	1
765	252	1
766	108,55,249,481,676,704,803,848,879	4
767	61,331,901	2
768	138,21,521,625	1
769	92,111,129,132,138,521,681,778,901	3
770	173,176,177,521	3
771	21,504,144,320	0
772	92,138,144,521,773	3
773	61,521,605	1
774	521,695,138,21,129,92	3
775	40,369,385,387,521	4
776	263,268,434,521,652	2
777	38,369,385,387,521,811	0
778	521,285,625,394	3
779	12,92,90,138,521	4
780	92,138,521,712	0
781	92,49,138,499,539	3
782	77,92,138,521,683	1
783	536	2
784	92,55,138,521,546,747	4
785	37,38,369,358,385,387,499	3
786	39,385,387,384	4
787	91,92,111,138,481,337	2
788	387,369	0
789	92,636	0
790	92,132,138,106,481,334,704	3
791	92,251,138,56,677,252,521	4
792	625,92,138	1
793	92,138,144,521,562	3
794	92,132,138,326	2
795	90,92,521	0
796	92,80	2
797	15,92,138,55,481,491,281	3
798	521,428,430	0
799	66,80,92,138,619,902,289	4
800	84,123,164,394,448,521,565,591,615	4
801	92,132,138,918,530,604	2
802	73,92,138,521,621,660,704	3
803	92,49,466,138,499,521,738,819,907	3
804	60,76,91,92,51,132,200,203,209,558,564,861,858	4
805	521,858,844	4
806	236,521,814,39,639,825	3
807	92,138,542	0
808	127,320,547	1
809	92,132,138,456,521,776	0
810	521,671,360,368,369,363,387,372,801,367	4
811	92,132,138,481,637	1
812	74,49,615,720	4
813	521,92,138	1
814	387,369,385,672	3
815	92,138,521,626	1
816	92	1
817	263,268,270,343	3
818	384,223,521	0
819	21,92,111,132,138,325,342,704,744	2
820	369	2
821	931	1
822	399,400,402,403,521	3
823	263,268,521	1
824	92,138,678,341	2
825	521	4
826	931	2
827	92,132,138,521,626,819	4
828	92,138,521,508,769,906,135	1
829	173,176,177,179,521	3
830	92,138,506,521,540,833,542,577	4
831	106,138,241,334,351,562,844,884,918,92	4
832	521,294	3
833	92,129,138,132,77,56,704,142,521,570	3
834	92,51,138,356,412,521,648	4
835	481,476,477,521,631,806,918	4
836	92,138,778,521	4
837	92,138,521,681,704,798	2
838	80,92,55,133,138,288,491,517,521,570,728	4
839	521,92,130,138,704	3
840	334,91,61	1
841	92,132,138,348,356,540,587,873,895	4
842	92,111,149,132,138,142,539,637	4
843	80,92,521,412	2
844	60,77,78,46,84,85,92,102,116,124,142,144,189,220,356,391,448,521,686,864	4
845	92,127,77,242,901,337	4
846	138,159,521,725	1
847	361,521,387,369,232	1
848	92,111,121,138,343,747,677,250,114	4
849	521,225	0
850	521,447,92,138,690	4
851	225,229	0
852	521,387	0
853	474,92	3
854	92,132,138,641,873	2
855	521	2
856	521,807	3
857	92,339	3
858	521,173	0
859	77,92,90,138,132,522,363,369,357,367,385,387,370,558,653	4
860	34,77,92,138,252,677	3
861	268,521	3
862	260,263,267	1
863	403,402,399,729,406,521,849	4
864	92,138,521,29	2
865	92,138,704,334	3
866	92,138,158,412,521,617,687	2
867	92,138,521,722	2
868	536	0
869	521,21,92,132,138,625,637	1
870	77,92,132,526,726	3
871	173,177,179,181,521,753	3
872	361,521,581,671	3
873	80,92,133,139	3
874	521,92,132,138,292,704	4
875	263,268,521,765	3
876	92,163,138,142,562,886,146,521,693	4
877	583,60,55,297,19,138,132,92	4
878	92,138,334,704,778	2
879	92,49,138,499,521,570,615,832,876	3
880	92,132,129	2
881	92,132,138,144,300,521,562	3
882	92,132,138,503,506,521,679	2
883	92,138,355,521,677	1
884	80,92,49,138,310,499,500,521,531,688,831,922	3
885	58,86,92,138,142,347,468,521,704	4
886	521,92,138,129	1
887	369,385,522	2
888	440,521,903	1
889	92,138,247,331,743,778,901,87,244	4
890	138,92,704,55,521	0
891	80,81,92,49,320,445,499,500,704,901	4
892	521,225	0
893	92,504	0
894	92,90,138,521,531,704,800,798	3
895	92,132,138,521	2
896	138,92,331,778,766,733	2
897	92,830,200,521,677	4
898	37,92,132,138,188,342,348,579,681,778,814,811,834	4
899	73,91,92,132,138,60,491,521,608,615,250	4
900	399,398,401,402,403,521	4
901	21,22,80,92,138,521,570,776,595	3
902	387,369,385,586,507,11,614,814,811	3
903	263,268,434,521,673	4
904	931	3
905	662,61,409	0
906	92	1
907	92,456,521,704	2
908	931	0
909	184,185,212,521	3
910	91,92,121,122,334	3
911	92,132,127	2
912	92,121,138,240,499,331,460,776,844	4
913	92,132,138,356,420,865,885	2
914	105,106,447,54,320,414,525,722,759	4
915	92,132,138,318,453	4
916	521,270,267,263,268,772	1
917	14,363,369,387,378,521	1
918	46,82,92,102,138,521,917	3
919	77,92,138,144,521,691,923	3
920	369,370,385,387	3
921	138,132,890,92	0
922	92,758,864	2
923	263	0
924	92,138,521,704	3
925	138,92,132,709,252,342	1
926	92,49,102,111,128,132,138,499,497,503,589,625,870,873,891,12	4
927	61,49,356,499,521,615	3
928	92,52,138,208,474,336,523	4
929	521,428	0
930	521,368,369,380,358,672,373,233,377,862	3
931	92,127,132,452,593	0
932	369,385,387,510,433,282	4
933	521,61,904	2
934	369,521,672	0
935	399,400,402,403,404,521,849	3
936	91,92,111,875	3
937	71,77,49,138,252,499,521,677	2
